[0204/171952.166:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0205/182835.590:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0205/182840.604:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0205/182845.610:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0205/182850.617:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0205/182855.626:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0205/182900.641:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0205/182905.656:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0205/182910.674:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0205/182915.691:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0205/182920.701:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0205/182921.217:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0205/182921.724:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0205/182925.713:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0205/182926.227:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0205/182926.742:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0205/182930.728:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0205/182931.243:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0205/182931.759:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0205/182935.742:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0205/182936.257:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0205/182936.770:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0205/220224.366:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
